bag_number,questing_group,destination,color,location_of_origin,count
1,The Duck Tracies,New Duck City,Blue,Ducklantis,6
1,The Duck Tracies,New Duck City,Green,The Shire,2
1,The Duck Tracies,New Duck City,Yellow,The Shire,3
1,The Duck Tracies,New Duck City,Black,Duckgard,2
1,The Duck Tracies,New Duck City,White,Duckgard,1
1,The Duck Tracies,New Duck City,Red,New Duck City,4
1,The Duck Tracies,New Duck City,Orange,New Duck City,1
1,The Moby Ducks,New Duck City,Blue,Ducklantis,3
1,The Moby Ducks,New Duck City,Pink,Quack Vegas,3
1,The Moby Ducks,New Duck City,Black,Duckgard,4
1,The Moby Ducks,New Duck City,Yellow,The Shire,2
1,The Moby Ducks,New Duck City,Red,New Duck City,2
2,The Fantastic Fowl,Land of Ducks,Teal,Ducklantis,3
2,The Fantastic Fowl,Land of Ducks,Lavender,Quack Vegas,3
2,The Fantastic Fowl,Land of Ducks,White,Duckgard,4
2,The Fantastic Fowl,Land of Ducks,Green,The Shire,2
2,The Fantastic Fowl,Land of Ducks,Orange,New Duck City,3
3,The Knights of the Round Pond,Fowl Valley,Purple,Ducklantis,4
3,The Knights of the Round Pond,Fowl Valley,Red,New Duck City,3
3,The Knights of the Round Pond,Fowl Valley,White,Duckgard,3
3,The Knights of the Round Pond,Fowl Valley,Yellow,The Shire,2
3,The Knights of the Round Pond,Fowl Valley,Blue,Ducklantis,4
5,Seven Ducks Samurai,Duck City,Orange,New Duck City,1
5,Seven Ducks Samurai,Duck City,Blue,Ducklantis,5
5,Seven Ducks Samurai,Duck City,Purple,Quack Vegas,3
5,Seven Ducks Samurai,Duck City,White,Duckgard,3
5,Seven Ducks Samurai,Duck City,Yellow,The Shire,4
8,Gander-dalf and the Quacks,Fowl Valley,Black,Duckgard,1
8,Gander-dalf and the Quacks,Fowl Valley,White,Duckgard,3
8,Gander-dalf and the Quacks,Fowl Valley,Red,New Duck City,2
8,Gander-dalf and the Quacks,Fowl Valley,Orange,New Duck City,2
8,Gander-dalf and the Quacks,Fowl Valley,Blue,Ducklantis,3
8,Gander-dalf and the Quacks,Fowl Valley,Purple,Quack Vegas,2
8,Gander-dalf and the Quacks,Fowl Valley,Pink,Quack Vegas,2
8,Gander-dalf and the Quacks,Fowl Valley,Yellow,The Shire,3
11,Federal Bureau of Ducks,Land of Ducks,White,Duckgard,2
11,Federal Bureau of Ducks,Land of Ducks,Black,Duckgard,2
11,Federal Bureau of Ducks,Land of Ducks,Red,New Duck City,2
11,Federal Bureau of Ducks,Land of Ducks,Orange,New Duck City,2
11,Federal Bureau of Ducks,Land of Ducks,Blue,Ducklantis,4
